time,datetime,idle_time,usr_time,io_wait,mem_total,mem_available,mem_percent
1729863628890,2024-10-25 13:40:28,8837.49,527.19,135.89,8313704448,5795930112,30.3
1729863629891,2024-10-25 13:40:29,8838.61,527.92,135.89,8313704448,5757059072,30.8
1729863630892,2024-10-25 13:40:30,8840.09,528.28,135.89,8313704448,5747965952,30.9
1729863631893,2024-10-25 13:40:31,8841.94,528.36,135.91,8313704448,5748027392,30.9
1729863632894,2024-10-25 13:40:32,8843.74,528.46,135.91,8313704448,5746040832,30.9
1729863633894,2024-10-25 13:40:33,8845.7,528.49,135.91,8313704448,5746040832,30.9
1729863634895,2024-10-25 13:40:34,8847.51,528.6,135.91,8313704448,5745274880,30.9
1729863635896,2024-10-25 13:40:35,8849.46,528.62,135.91,8313704448,5745025024,30.9
1729863636897,2024-10-25 13:40:36,8851.21,528.76,135.92,8313704448,5745315840,30.9
1729863637898,2024-10-25 13:40:37,8852.83,528.99,135.92,8313704448,5742157824,30.9
1729863638899,2024-10-25 13:40:38,8854.75,529.01,135.92,8313704448,5741645824,30.9
1729863639900,2024-10-25 13:40:39,8856.61,529.08,135.92,8313704448,5741146112,30.9
1729863640901,2024-10-25 13:40:40,8858.51,529.1,135.92,8313704448,5739606016,31.0
1729863641901,2024-10-25 13:40:41,8860.31,529.23,135.92,8313704448,5743005696,30.9
1729863642902,2024-10-25 13:40:42,8862.14,529.33,135.92,8313704448,5739442176,31.0
1729863643903,2024-10-25 13:40:43,8864.1,529.35,135.92,8313704448,5739442176,31.0
1729863644904,2024-10-25 13:40:44,8865.88,529.45,135.92,8313704448,5739200512,31.0
1729863645905,2024-10-25 13:40:45,8867.78,529.52,135.93,8313704448,5800468480,30.2
1729863646905,2024-10-25 13:40:46,8869.61,529.6,135.93,8313704448,5791420416,30.3
1729863647907,2024-10-25 13:40:47,8871.09,529.9,135.93,8313704448,5796343808,30.3
1729863648908,2024-10-25 13:40:48,8872.96,530.0,135.93,8313704448,5799796736,30.2
1729863649908,2024-10-25 13:40:49,8874.71,530.18,135.93,8313704448,5897662464,29.1
